,Sales,Seasonal First Difference,forecast
1964-01-01,2815.0,,
1964-02-01,2672.0,,
1964-03-01,2755.0,,
1964-04-01,2721.0,,
1964-05-01,2946.0,,
1964-06-01,3036.0,,
1964-07-01,2282.0,,
1964-08-01,2212.0,,
1964-09-01,2922.0,,
1964-10-01,4301.0,,
1964-11-01,5764.0,,
1964-12-01,7312.0,,
1965-01-01,2541.0,-274.0,
1965-02-01,2475.0,-197.0,
1965-03-01,3031.0,276.0,
1965-04-01,3266.0,545.0,
1965-05-01,3776.0,830.0,
1965-06-01,3230.0,194.0,
1965-07-01,3028.0,746.0,
1965-08-01,1759.0,-453.0,
1965-09-01,3595.0,673.0,
1965-10-01,4474.0,173.0,
1965-11-01,6838.0,1074.0,
1965-12-01,8357.0,1045.0,
1966-01-01,3113.0,572.0,
1966-02-01,3006.0,531.0,
1966-03-01,4047.0,1016.0,
1966-04-01,3523.0,257.0,
1966-05-01,3937.0,161.0,
1966-06-01,3986.0,756.0,
1966-07-01,3260.0,232.0,
1966-08-01,1573.0,-186.0,
1966-09-01,3528.0,-67.0,
1966-10-01,5211.0,737.0,
1966-11-01,7614.0,776.0,
1966-12-01,9254.0,897.0,
1967-01-01,5375.0,2262.0,
1967-02-01,3088.0,82.0,
1967-03-01,3718.0,-329.0,
1967-04-01,4514.0,991.0,
1967-05-01,4520.0,583.0,
1967-06-01,4539.0,553.0,
1967-07-01,3663.0,403.0,
1967-08-01,1643.0,70.0,
1967-09-01,4739.0,1211.0,
1967-10-01,5428.0,217.0,
1967-11-01,8314.0,700.0,
1967-12-01,10651.0,1397.0,
1968-01-01,3633.0,-1742.0,
1968-02-01,4292.0,1204.0,
1968-03-01,4154.0,436.0,
1968-04-01,4121.0,-393.0,
1968-05-01,4647.0,127.0,
1968-06-01,4753.0,214.0,
1968-07-01,3965.0,302.0,
1968-08-01,1723.0,80.0,
1968-09-01,5048.0,309.0,
1968-10-01,6922.0,1494.0,
1968-11-01,9858.0,1544.0,
1968-12-01,11331.0,680.0,
1969-01-01,4016.0,383.0,
1969-02-01,3957.0,-335.0,
1969-03-01,4510.0,356.0,
1969-04-01,4276.0,155.0,
1969-05-01,4968.0,321.0,
1969-06-01,4677.0,-76.0,
1969-07-01,3523.0,-442.0,
1969-08-01,1821.0,98.0,
1969-09-01,5222.0,174.0,
1969-10-01,6872.0,-50.0,
1969-11-01,10803.0,945.0,
1969-12-01,13916.0,2585.0,
1970-01-01,2639.0,-1377.0,
1970-02-01,2899.0,-1058.0,
1970-03-01,3370.0,-1140.0,
1970-04-01,3740.0,-536.0,
1970-05-01,2927.0,-2041.0,
1970-06-01,3986.0,-691.0,
1970-07-01,4217.0,694.0,
1970-08-01,1738.0,-83.0,
1970-09-01,5221.0,-1.0,
1970-10-01,6424.0,-448.0,
1970-11-01,9842.0,-961.0,
1970-12-01,13076.0,-840.0,
1971-01-01,3934.0,1295.0,
1971-02-01,3162.0,263.0,
1971-03-01,4286.0,916.0,
1971-04-01,4676.0,936.0,
1971-05-01,5010.0,2083.0,
1971-06-01,4874.0,888.0,
1971-07-01,4633.0,416.0,
1971-08-01,1659.0,-79.0,
1971-09-01,5951.0,730.0,
1971-10-01,6981.0,557.0,
1971-11-01,9851.0,9.0,
1971-12-01,12670.0,-406.0,
1972-01-01,4348.0,414.0,
1972-02-01,3564.0,402.0,
1972-03-01,4577.0,291.0,
1972-04-01,4788.0,112.0,
1972-05-01,4618.0,-392.0,
1972-06-01,5312.0,438.0,
1972-07-01,4298.0,-335.0,
1972-08-01,1413.0,-246.0,
1972-09-01,5877.0,-74.0,5878.711882294864
1972-10-01,,,7024.263069237035
1972-11-01,,,9996.419862932777
1972-12-01,,,12892.152933911131
1973-01-01,,,4561.509355431371
1973-02-01,,,3718.8175500369757
1973-03-01,,,4792.360925270635
1973-04-01,,,5034.610427280513
1973-05-01,,,5047.9566466880215
1973-06-01,,,5488.573171705809
1973-07-01,,,4593.62791286689
1973-08-01,,,1676.1385995037133
1973-09-01,,,6146.224095274266
1973-10-01,,,7262.512384728022
1973-11-01,,,10194.735789351766
1973-12-01,,,13057.412476208397
1974-01-01,,,4731.200900469457
1974-02-01,,,3915.31765394145
1974-03-01,,,4961.3912290804865
1974-04-01,,,5189.452861265304
1974-05-01,,,5119.495170318672
1974-06-01,,,5675.242322322212
1974-07-01,,,4726.202434060726
1974-08-01,,,1823.4753467240396
1974-09-01,,,6291.5736235575005
1974-10-01,,,7421.1580922075345
1974-11-01,,,10371.526020390658
1974-12-01,,,13249.222527073194
1975-01-01,,,4920.997183678968
1975-02-01,,,4092.932940261857
1975-03-01,,,5151.48796031027
1975-04-01,,,5385.996130691068
1975-05-01,,,5353.889212721695
1975-06-01,,,5857.324495976849
1975-07-01,,,4932.863568400711
1975-08-01,,,2023.42897281404
1975-09-01,,,6492.430181725037
1975-10-01,,,7615.973269387377
1975-11-01,,,10558.096875796233
1975-12-01,,,13428.968831410728
1976-01-01,,,5101.658483027226
1976-02-01,,,4279.128915544507
1976-03-01,,,5332.012745180897
1976-04-01,,,5563.591803918513
1976-05-01,,,5514.2866414866685
1976-06-01,,,6041.4908529897075
1976-07-01,,,5105.861990355703
1976-08-01,,,2199.4750832980503
